0	1E-8
1	1.0002168845E-8
2	1.000433816E-8
3	1.0006507946E-8
4	1.0008678203E-8
5	1.0010848929E-8
6	1.0013020127E-8
7	1.0015191796E-8
8	1.0017363935E-8
9	1.0019536545E-8
10	1.0021709627E-8
11	1.002388318E-8
12	1.0026057204E-8
13	1.00282317E-8
14	1.0030406667E-8
15	1.0032582105E-8
16	1.0034758016E-8
17	1.0036934398E-8
18	1.0039111253E-8
19	1.0041288579E-8
20	1.0043466377E-8
21	1.0045644648E-8
22	1.0047823391E-8
23	1.0050002607E-8
24	1.0052182295E-8
25	1.0054362456E-8
26	1.005654309E-8
27	1.0058724196E-8
28	1.0060905776E-8
29	1.0063087828E-8
30	1.0065270354E-8
31	1.0067453353E-8
32	1.0069636825E-8
33	1.0071820771E-8
34	1.007400519E-8
35	1.0076190084E-8
36	1.0078375451E-8
37	1.0080561291E-8
38	1.0082747606E-8
39	1.0084934395E-8
40	1.0087121658E-8
41	1.0089309396E-8
42	1.0091497608E-8
43	1.0093686294E-8
44	1.0095875455E-8
45	1.0098065091E-8
46	1.0100255201E-8
47	1.0102445787E-8
48	1.0104636847E-8
49	1.0106828383E-8
50	1.0109020394E-8
51	1.011121288E-8
52	1.0113405842E-8
53	1.0115599279E-8
54	1.0117793192E-8
55	1.011998758E-8
56	1.0122182445E-8
57	1.0124377785E-8
58	1.0126573602E-8
59	1.0128769894E-8
60	1.0130966663E-8
61	1.0133163909E-8
62	1.013536163E-8
63	1.0137559829E-8
64	1.0139758504E-8
65	1.0141957655E-8
66	1.0144157284E-8
67	1.014635739E-8
68	1.0148557973E-8
69	1.0150759033E-8
70	1.015296057E-8
71	1.0155162584E-8
72	1.0157365077E-8
73	1.0159568046E-8
74	1.0161771494E-8
75	1.0163975419E-8
76	1.0166179822E-8
77	1.0168384704E-8
78	1.0170590063E-8
79	1.0172795901E-8
80	1.0175002217E-8
81	1.0177209011E-8
82	1.0179416284E-8
83	1.0181624036E-8
84	1.0183832266E-8
85	1.0186040975E-8
86	1.0188250163E-8
87	1.019045983E-8
88	1.0192669977E-8
89	1.0194880602E-8
90	1.0197091707E-8
91	1.0199303292E-8
92	1.0201515356E-8
93	1.02037279E-8
94	1.0205940923E-8
95	1.0208154427E-8
96	1.021036841E-8
97	1.0212582874E-8
98	1.0214797818E-8
99	1.0217013242E-8
100	1.0219229146E-8
101	1.0221445531E-8
102	1.0223662397E-8
103	1.0225879743E-8
104	1.022809757E-8
105	1.0230315878E-8
106	1.0232534668E-8
107	1.0234753938E-8
108	1.0236973689E-8
109	1.0239193922E-8
110	1.0241414637E-8
111	1.0243635833E-8
112	1.024585751E-8
113	1.024807967E-8
114	1.0250302311E-8
115	1.0252525434E-8
116	1.0254749039E-8
117	1.0256973127E-8
118	1.0259197696E-8
119	1.0261422749E-8
120	1.0263648283E-8
121	1.0265874301E-8
122	1.0268100801E-8
123	1.0270327783E-8
124	1.0272555249E-8
125	1.0274783198E-8
126	1.027701163E-8
127	1.0279240545E-8
128	1.0281469943E-8
129	1.0283699825E-8
130	1.0285930191E-8
131	1.028816104E-8
132	1.0290392373E-8
133	1.0292624189E-8
134	1.029485649E-8
135	1.0297089275E-8
136	1.0299322544E-8
137	1.0301556297E-8
138	1.0303790534E-8
139	1.0306025257E-8
140	1.0308260463E-8
141	1.0310496155E-8
142	1.0312732331E-8
143	1.0314968992E-8
144	1.0317206138E-8
145	1.0319443769E-8
146	1.0321681886E-8
147	1.0323920488E-8
148	1.0326159575E-8
149	1.0328399148E-8
150	1.0330639206E-8
151	1.033287975E-8
152	1.033512078E-8
153	1.0337362296E-8
154	1.0339604299E-8
155	1.0341846787E-8
156	1.0344089761E-8
157	1.0346333222E-8
158	1.034857717E-8
159	1.0350821604E-8
160	1.0353066525E-8
161	1.0355311932E-8
162	1.0357557827E-8
163	1.0359804208E-8
164	1.0362051077E-8
165	1.0364298432E-8
166	1.0366546276E-8
167	1.0368794606E-8
168	1.0371043424E-8
169	1.037329273E-8
170	1.0375542524E-8
171	1.0377792805E-8
172	1.0380043575E-8
173	1.0382294832E-8
174	1.0384546578E-8
175	1.0386798812E-8
176	1.0389051534E-8
177	1.0391304745E-8
178	1.0393558444E-8
179	1.0395812633E-8
180	1.039806731E-8
181	1.0400322476E-8
182	1.040257813E-8
183	1.0404834275E-8
184	1.0407090908E-8
185	1.0409348031E-8
186	1.0411605643E-8
187	1.0413863744E-8
188	1.0416122336E-8
189	1.0418381417E-8
190	1.0420640988E-8
191	1.0422901049E-8
192	1.04251616E-8
193	1.0427422641E-8
194	1.0429684173E-8
195	1.0431946195E-8
196	1.0434208707E-8
197	1.043647171E-8
198	1.0438735204E-8
199	1.0440999189E-8
200	1.0443263664E-8
201	1.0445528631E-8
202	1.0447794089E-8
203	1.0450060038E-8
204	1.0452326478E-8
205	1.045459341E-8
206	1.0456860834E-8
207	1.0459128749E-8
208	1.0461397156E-8
209	1.0463666055E-8
210	1.0465935446E-8
211	1.0468205329E-8
212	1.0470475704E-8
213	1.0472746572E-8
214	1.0475017932E-8
215	1.0477289784E-8
216	1.0479562129E-8
217	1.0481834967E-8
218	1.0484108298E-8
219	1.0486382122E-8
220	1.0488656439E-8
221	1.0490931249E-8
222	1.0493206552E-8
223	1.0495482349E-8
224	1.0497758639E-8
225	1.0500035423E-8
226	1.05023127E-8
227	1.0504590471E-8
228	1.0506868737E-8
229	1.0509147496E-8
230	1.0511426749E-8
231	1.0513706497E-8
232	1.0515986739E-8
233	1.0518267476E-8
234	1.0520548707E-8
235	1.0522830433E-8
236	1.0525112653E-8
237	1.0527395369E-8
238	1.0529678579E-8
239	1.0531962285E-8
240	1.0534246485E-8
241	1.0536531182E-8
242	1.0538816373E-8
243	1.054110206E-8
244	1.0543388243E-8
245	1.0545674921E-8
246	1.0547962096E-8
247	1.0550249766E-8
248	1.0552537932E-8
249	1.0554826595E-8
250	1.0557115754E-8
251	1.0559405409E-8
252	1.0561695561E-8
253	1.0563986209E-8
254	1.0566277354E-8
255	1.0568568996E-8
256	1.0570861135E-8
257	1.0573153771E-8
258	1.0575446904E-8
259	1.0577740534E-8
260	1.0580034662E-8
261	1.0582329287E-8
262	1.058462441E-8
263	1.058692003E-8
264	1.0589216149E-8
265	1.0591512765E-8
266	1.0593809879E-8
267	1.0596107491E-8
268	1.0598405602E-8
269	1.0600704211E-8
270	1.0603003318E-8
271	1.0605302924E-8
272	1.0607603028E-8
273	1.0609903632E-8
274	1.0612204734E-8
275	1.0614506335E-8
276	1.0616808435E-8
277	1.0619111035E-8
278	1.0621414133E-8
279	1.0623717732E-8
280	1.0626021829E-8
281	1.0628326427E-8
282	1.0630631524E-8
283	1.0632937121E-8
284	1.0635243218E-8
285	1.0637549815E-8
286	1.0639856912E-8
287	1.0642164509E-8
288	1.0644472607E-8
289	1.0646781205E-8
290	1.0649090304E-8
291	1.0651399904E-8
292	1.0653710005E-8
293	1.0656020606E-8
294	1.0658331708E-8
295	1.0660643312E-8
296	1.0662955417E-8
297	1.0665268023E-8
298	1.0667581131E-8
299	1.066989474E-8
300	1.0672208852E-8
301	1.0674523464E-8
302	1.0676838579E-8
303	1.0679154196E-8
304	1.0681470315E-8
305	1.0683786936E-8
306	1.068610406E-8
307	1.0688421686E-8
308	1.0690739814E-8
309	1.0693058445E-8
310	1.0695377579E-8
311	1.0697697216E-8
312	1.0700017356E-8
313	1.0702337999E-8
314	1.0704659146E-8
315	1.0706980795E-8
316	1.0709302948E-8
317	1.0711625605E-8
318	1.0713948765E-8
319	1.0716272429E-8
320	1.0718596597E-8
321	1.0720921269E-8
322	1.0723246445E-8
323	1.0725572125E-8
324	1.072789831E-8
325	1.0730224999E-8
326	1.0732552192E-8
327	1.073487989E-8
328	1.0737208093E-8
329	1.0739536801E-8
330	1.0741866013E-8
331	1.0744195731E-8
332	1.0746525954E-8
333	1.0748856682E-8
334	1.0751187916E-8
335	1.0753519655E-8
336	1.07558519E-8
337	1.0758184651E-8
338	1.0760517907E-8
339	1.076285167E-8
340	1.0765185938E-8
341	1.0767520713E-8
342	1.0769855994E-8
343	1.0772191781E-8
344	1.0774528075E-8
345	1.0776864875E-8
346	1.0779202182E-8
347	1.0781539996E-8
348	1.0783878317E-8
349	1.0786217145E-8
350	1.078855648E-8
351	1.0790896323E-8
352	1.0793236672E-8
353	1.079557753E-8
354	1.0797918895E-8
355	1.0800260767E-8
356	1.0802603148E-8
357	1.0804946036E-8
358	1.0807289433E-8
359	1.0809633337E-8
360	1.081197775E-8
361	1.0814322671E-8
362	1.0816668101E-8
363	1.0819014039E-8
364	1.0821360486E-8
