0	1E-8	1E-8
1	1.0009306231E-8	1.0033170941E-8
2	1.0018621122E-8	1.0066451911E-8
3	1.0027944681E-8	1.0099843276E-8
4	1.0037276916E-8	1.0133345401E-8
5	1.0046617835E-8	1.0166958653E-8
6	1.0055967447E-8	1.0200683402E-8
7	1.0065325759E-8	1.0234520016E-8
8	1.007469278E-8	1.0268468868E-8
9	1.0084068517E-8	1.030253033E-8
10	1.0093452979E-8	1.0336704774E-8
11	1.0102846174E-8	1.0370992576E-8
12	1.011224811E-8	1.0405394112E-8
13	1.0121658795E-8	1.0439909758E-8
14	1.0131078237E-8	1.0474539894E-8
15	1.0140506445E-8	1.05092849E-8
16	1.0149943426E-8	1.0544145155E-8
17	1.0159389189E-8	1.0579121043E-8
18	1.0168843742E-8	1.0614212947E-8
19	1.0178307092E-8	1.0649421252E-8
20	1.0187779249E-8	1.0684746344E-8
21	1.0197260221E-8	1.072018861E-8
22	1.0206750015E-8	1.075574844E-8
23	1.021624864E-8	1.0791426222E-8
24	1.0225756104E-8	1.0827222348E-8
25	1.0235272415E-8	1.0863137211E-8
26	1.0244797582E-8	1.0899171205E-8
27	1.0254331613E-8	1.0935324724E-8
28	1.0263874515E-8	1.0971598165E-8
29	1.0273426298E-8	1.1007991927E-8
30	1.028298697E-8	1.1044506407E-8
31	1.0292556538E-8	1.1081142007E-8
32	1.0302135011E-8	1.1117899128E-8
33	1.0311722398E-8	1.1154778173E-8
34	1.0321318706E-8	1.1191779547E-8
35	1.0330923944E-8	1.1228903655E-8
36	1.034053812E-8	1.1266150905E-8
37	1.0350161243E-8	1.1303521705E-8
38	1.0359793321E-8	1.1341016464E-8
39	1.0369434362E-8	1.1378635595E-8
40	1.0379084375E-8	1.1416379509E-8
41	1.0388743368E-8	1.145424862E-8
42	1.0398411348E-8	1.1492243344E-8
43	1.0408088326E-8	1.1530364097E-8
44	1.0417774308E-8	1.1568611298E-8
45	1.0427469304E-8	1.1606985365E-8
46	1.0437173322E-8	1.164548672E-8
47	1.0446886369E-8	1.1684115784E-8
48	1.0456608456E-8	1.1722872982E-8
49	1.0466339589E-8	1.1761758738E-8
50	1.0476079778E-8	1.1800773479E-8
51	1.048582903E-8	1.1839917633E-8
52	1.0495587355E-8	1.1879191628E-8
53	1.050535476E-8	1.1918595896E-8
54	1.0515131254E-8	1.1958130868E-8
55	1.0524916847E-8	1.1997796979E-8
56	1.0534711545E-8	1.2037594662E-8
57	1.0544515357E-8	1.2077524356E-8
58	1.0554328293E-8	1.2117586496E-8
59	1.056415036E-8	1.2157781524E-8
60	1.0573981567E-8	1.2198109878E-8
61	1.0583821922E-8	1.2238572003E-8
62	1.0593671435E-8	1.2279168341E-8
63	1.0603530113E-8	1.2319899337E-8
64	1.0613397965E-8	1.2360765439E-8
